200;10.03;34.90;5.00
201;10.04;35.29;5.00
202;10.09;35.99;5.00
203;10.17;36.82;5.00
204;10.27;37.61;5.00
205;10.39;38.25;5.00
206;10.51;38.71;5.00
207;10.64;39.03;5.00
208;10.75;39.31;5.00
209;10.85;39.61;5.00
210;10.93;39.96;5.00
211;11.00;40.34;5.00
212;11.06;40.68;5.00
213;11.13;40.89;5.00
214;11.20;40.92;5.00
215;11.30;40.77;5.00
216;11.41;40.51;5.00
217;11.55;40.23;5.00
218;11.71;40.02;5.00
219;11.88;39.91;5.00
220;12.05;39.86;5.00
221;12.21;39.74;5.00
222;12.33;39.41;5.00
223;12.42;38.72;5.00
224;12.46;37.59;5.00
225;12.45;36.08;5.00
226;12.39;34.33;5.00
227;12.28;32.57;5.00
228;12.14;31.04;5.00
229;11.96;29.93;5.00
230;11.77;29.33;5.00
231;11.56;29.19;5.00
232;11.36;29.38;5.00
233;11.15;29.69;5.00
234;10.94;29.94;5.00
235;10.72;30.01;5.00
236;10.50;29.87;5.00
237;10.26;29.56;5.00
238;10.01;29.16;5.00
239;9.74;28.77;5.00
240;9.46;28.42;5.00
241;9.17;28.11;5.00
242;8.88;27.80;5.00
243;8.61;27.41;5.00
244;8.36;26.93;5.00
245;8.14;26.39;5.00
246;7.96;25.87;5.00
247;7.81;25.48;5.00
248;7.70;25.33;5.00
249;7.62;25.46;5.00
250;7.56;25.82;5.00
251;7.49;26.28;5.00
252;7.43;26.67;5.00
253;7.34;26.82;5.00
254;7.23;26.64;5.00
255;7.10;26.13;5.00
256;6.95;25.41;5.00
257;6.78;24.66;5.00
258;6.61;24.11;5.00
259;6.45;23.89;5.00
260;6.31;24.07;5.00
261;6.20;24.59;5.00
262;6.13;25.27;5.00
263;6.09;25.93;5.00
264;6.10;26.38;5.00
265;6.13;26.51;5.00
266;6.19;26.31;5.00
267;6.27;25.83;5.00
268;6.35;25.19;5.00
269;6.44;24.53;5.00
270;6.53;23.91;5.00
271;6.63;23.36;5.00
272;6.73;22.86;5.00
273;6.84;22.39;5.00
274;6.97;21.95;5.00
275;7.13;21.57;5.00
276;7.31;21.36;5.00
277;7.51;21.42;5.00
278;7.73;21.85;5.00
279;7.96;22.69;5.00
280;8.19;23.85;5.00
281;8.41;25.20;5.00
282;8.61;26.52;5.00
283;8.77;27.63;5.00
284;8.89;28.39;5.00
285;8.98;28.80;5.00
286;9.02;28.93;5.00
287;9.04;28.97;5.00
288;9.04;29.10;5.00
289;9.03;29.48;5.00
