Unix Time,Open,High,Low,Close,Volume,Formatted Date
1768334709,77.39,77.39,77.37,77.37,28.00700000,13/01/2026 21:05:09
1768334710,77.36,77.36,77.35,77.35,8.32200000,13/01/2026 21:05:10
1768334711,77.35,77.35,77.35,77.35,0.00000000,13/01/2026 21:05:11
1768334712,77.36,77.38,77.36,77.37,2.62900000,13/01/2026 21:05:12
1768334713,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:13
1768334714,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:14
1768334715,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:15
1768334716,77.38,77.38,77.37,77.37,1.63000000,13/01/2026 21:05:16
1768334717,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:17
1768334718,77.38,77.38,77.38,77.38,2.86000000,13/01/2026 21:05:18
1768334719,77.38,77.38,77.38,77.38,3.70800000,13/01/2026 21:05:19
1768334720,77.38,77.38,77.38,77.38,6.18000000,13/01/2026 21:05:20
1768334721,77.38,77.38,77.37,77.37,1.52200000,13/01/2026 21:05:21
1768334722,77.38,77.38,77.38,77.38,10.00000000,13/01/2026 21:05:22
1768334723,77.38,77.38,77.38,77.38,0.31700000,13/01/2026 21:05:23
1768334724,77.38,77.38,77.38,77.38,7.54800000,13/01/2026 21:05:24
1768334725,77.38,77.38,77.38,77.38,0.15500000,13/01/2026 21:05:25
1768334726,77.37,77.37,77.37,77.37,0.50000000,13/01/2026 21:05:26
1768334727,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:27
1768334728,77.37,77.37,77.37,77.37,0.00000000,13/01/2026 21:05:28
1768334729,77.37,77.38,77.37,77.38,7.79700000,13/01/2026 21:05:29
1768334730,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:05:30
1768334731,77.38,77.38,77.38,77.38,1.23600000,13/01/2026 21:05:31
1768334732,77.37,77.37,77.37,77.37,6.54900000,13/01/2026 21:05:32
1768334733,77.37,77.38,77.37,77.38,8.31100000,13/01/2026 21:05:33
1768334734,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:05:34
1768334735,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:05:35
1768334736,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:05:36
1768334737,77.38,77.38,77.38,77.38,3.70800000,13/01/2026 21:05:37
1768334738,77.38,77.38,77.38,77.38,6.18000000,13/01/2026 21:05:38
1768334739,77.38,77.38,77.38,77.38,1.23600000,13/01/2026 21:05:39
1768334740,77.37,77.38,77.37,77.38,2.83600000,13/01/2026 21:05:40
1768334741,77.38,77.38,77.38,77.38,38.07800000,13/01/2026 21:05:41
1768334742,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:05:42
1768334743,77.38,77.38,77.38,77.38,1.34000000,13/01/2026 21:05:43
1768334744,77.39,77.39,77.39,77.39,8.17300000,13/01/2026 21:05:44
1768334745,77.39,77.39,77.39,77.39,7.41600000,13/01/2026 21:05:45
1768334746,77.38,77.38,77.38,77.38,4.36800000,13/01/2026 21:05:46
1768334747,77.39,77.39,77.39,77.39,1.23600000,13/01/2026 21:05:47
1768334748,77.39,77.39,77.39,77.39,1.23600000,13/01/2026 21:05:48
1768334749,77.39,77.39,77.39,77.39,56.63400000,13/01/2026 21:05:49
1768334750,77.40,77.41,77.40,77.41,8.65200000,13/01/2026 21:05:50
1768334751,77.41,77.41,77.41,77.41,6.18000000,13/01/2026 21:05:51
1768334752,77.41,77.41,77.41,77.41,2.78600000,13/01/2026 21:05:52
1768334753,77.41,77.41,77.40,77.41,8.76300000,13/01/2026 21:05:53
1768334754,77.41,77.41,77.41,77.41,8.65200000,13/01/2026 21:05:54
1768334755,77.41,77.41,77.40,77.41,12.95000000,13/01/2026 21:05:55
1768334756,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:05:56
1768334757,77.41,77.41,77.41,77.41,52.73900000,13/01/2026 21:05:57
1768334758,77.41,77.41,77.41,77.41,9.97800000,13/01/2026 21:05:58
1768334759,77.41,77.42,77.41,77.41,24.30900000,13/01/2026 21:05:59
1768334760,77.41,77.41,77.41,77.41,0.00000000,13/01/2026 21:06:00
1768334761,77.42,77.42,77.42,77.42,4.94400000,13/01/2026 21:06:01
1768334762,77.41,77.41,77.41,77.41,0.54000000,13/01/2026 21:06:02
1768334763,77.42,77.42,77.42,77.42,0.41600000,13/01/2026 21:06:03
1768334764,77.42,77.42,77.40,77.40,5.10800000,13/01/2026 21:06:04
1768334765,77.41,77.41,77.41,77.41,3.70800000,13/01/2026 21:06:05
1768334766,77.40,77.40,77.38,77.38,31.52300000,13/01/2026 21:06:06
1768334767,77.38,77.38,77.38,77.38,0.00000000,13/01/2026 21:06:07
1768334768,77.38,77.38,77.38,77.38,0.14800000,13/01/2026 21:06:08
1768334769,77.39,77.39,77.39,77.39,0.35500000,13/01/2026 21:06:09
1768334770,77.39,77.39,77.39,77.39,7.47200000,13/01/2026 21:06:10
1768334771,77.39,77.39,77.39,77.39,4.94400000,13/01/2026 21:06:11
1768334772,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:12
1768334773,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:13
1768334774,77.39,77.39,77.39,77.39,0.45200000,13/01/2026 21:06:14
1768334775,77.39,77.39,77.39,77.39,8.31600000,13/01/2026 21:06:15
1768334776,77.39,77.39,77.39,77.39,5.16600000,13/01/2026 21:06:16
1768334777,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:17
1768334778,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:18
1768334779,77.39,77.39,77.39,77.39,1.07000000,13/01/2026 21:06:19
1768334780,77.39,77.39,77.39,77.39,0.14600000,13/01/2026 21:06:20
1768334781,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:21
1768334782,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:22
1768334783,77.39,77.40,77.39,77.40,65.81700000,13/01/2026 21:06:23
1768334784,77.40,77.40,77.40,77.40,1.23600000,13/01/2026 21:06:24
1768334785,77.40,77.40,77.40,77.40,2.47200000,13/01/2026 21:06:25
1768334786,77.40,77.40,77.40,77.40,1.43700000,13/01/2026 21:06:26
1768334787,77.40,77.40,77.40,77.40,0.00000000,13/01/2026 21:06:27
1768334788,77.40,77.40,77.40,77.40,0.00000000,13/01/2026 21:06:28
1768334789,77.39,77.39,77.39,77.39,0.41800000,13/01/2026 21:06:29
1768334790,77.40,77.40,77.40,77.40,28.75200000,13/01/2026 21:06:30
1768334791,77.40,77.40,77.40,77.40,0.00000000,13/01/2026 21:06:31
1768334792,77.40,77.40,77.40,77.40,0.00000000,13/01/2026 21:06:32
1768334793,77.40,77.41,77.40,77.41,2.37400000,13/01/2026 21:06:33
1768334794,77.41,77.41,77.41,77.41,0.68400000,13/01/2026 21:06:34
1768334795,77.40,77.40,77.39,77.39,1.31300000,13/01/2026 21:06:35
1768334796,77.40,77.40,77.39,77.39,4.07400000,13/01/2026 21:06:36
1768334797,77.39,77.39,77.39,77.39,0.00000000,13/01/2026 21:06:37
1768334798,77.39,77.39,77.38,77.38,4.43000000,13/01/2026 21:06:38
1768334799,77.39,77.39,77.39,77.39,0.35000000,13/01/2026 21:06:39
